id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,Anomaly_Score,Group
214523211,500000,0.0,0.0,300000,76,1,4,3,0.050594452939847205,Normal
214566411,1000000,0.0,0.0,478000,76,1,2,3,-0.0019827951055564064,Outlier
214947612,1600000,1.0,0.0,1118000,20,0,3,3,0.007153999529093694,Normal
214949112,550000,0.0,0.0,391000,20,0,4,3,0.017762397571365867,Normal
214964312,600000,0.0,0.0,440000,50,0,4,1,0.016333052594445494,Normal
214986512,15000000,1.0,1000000.0,12925000,50,0,3,5,-0.07313853561762365,Outlier
215192912,450000,1.0,0.0,180000,25,0,4,5,0.005064712585958954,Normal
215235711,608000,0.0,0.0,272000,8,1,4,3,0.04758829478235452,Normal
215236811,640000,0.0,0.0,0,8,1,2,5,0.004025496201998453,Normal
215259611,2640000,0.0,0.0,1960000,15,1,3,5,0.029361614297002965,Normal
215296111,1000000,0.0,0.0,0,44,1,3,4,0.050888041928967086,Normal
215312211,700000,0.0,0.0,400000,63,1,3,1,0.029039148756638006,Normal
215354711,2700000,1.0,0.0,1870000,76,0,3,4,0.0198425514445885,Normal
215389211,400000,0.0,0.0,335000,18,1,3,5,0.044075805520931766,Normal
2154010111,1442419,0.0,0.0,61508,20,1,3,1,0.024119733535969995,Normal
215403811,380000,0.0,0.0,200000,20,1,3,5,0.03744107309286605,Normal
215436611,4000000,0.0,0.0,2824000,52,0,3,3,0.012082875275591678,Normal
215437511,6000000,2.0,200000.0,2000000,52,0,4,3,-0.02145160409807502,Outlier
215443311,1400000,0.0,0.0,830000,52,0,4,3,0.02134301999224496,Normal
215446211,1700000,0.0,0.0,1300000,54,1,3,2,0.0322511904844933,Normal
215485612,1000000,0.0,0.0,700000,23,0,4,2,0.01144345704460021,Normal
215528711,60000,0.0,0.0,20000,52,0,4,5,0.017964888454609616,Normal
215565012,1400000,0.0,0.0,920000,13,1,3,5,0.05328281522245276,Normal
215574411,1600000,0.0,0.0,700000,18,1,3,5,0.04816617508420246,Normal
215577511,2300000,0.0,0.0,30000,18,1,3,4,0.041606210650014006,Normal
215579611,1176000,0.0,0.0,855000,18,1,3,1,0.026441676520339012,Normal
215620511,150000,0.0,0.0,135000,50,1,3,5,0.0418591437299779,Normal
215620711,650000,0.0,0.0,350000,50,1,4,1,0.035804677915820704,Normal
215630511,1000000,1.0,0.0,500000,52,1,3,5,0.029638843438296057,Normal
215908811,915000,0.0,0.0,515000,76,0,4,5,0.030644757596818378,Normal
215916211,720000,1.0,0.0,525000,19,0,4,5,0.009325246112938345,Normal
215939512,1500000,0.0,0.0,1005000,11,1,3,2,0.037988042177773094,Normal
215958312,700000,0.0,0.0,515000,17,1,3,5,0.05225565180239136,Normal
215964712,1227200,1.0,0.0,408000,19,1,3,5,0.02872587837648982,Normal
215977811,750000,0.0,105000.0,375000,50,1,4,2,0.03691628649937133,Normal
215982411,7700000,2.0,0.0,6200000,52,0,3,4,-0.028842461277351295,Outlier
215982412,5600000,0.0,0.0,4200000,52,0,3,4,0.008855885082584478,Normal
215989212,1200000,0.0,0.0,827000,68,1,4,5,0.04178485923368705,Normal
216019312,360000,0.0,0.0,100000,52,0,4,1,0.008496189395694766,Normal
216055211,600000,0.0,0.0,260000,50,1,4,3,0.04512870008939748,Normal
216055212,450000,0.0,0.0,215000,50,1,4,1,0.034458647264156476,Normal
500000711,1300000,1.0,0.0,746000,8,0,3,3,0.018858311918822146,Normal
500001013,1320000,1.0,240000.0,537000,8,0,3,2,0.006847700065215005,Normal
500003315,500000,0.0,0.0,270000,13,0,3,1,0.01401489420517605,Normal
500063512,1400000,0.0,0.0,300000,5,1,3,5,0.05835797953086966,Normal
500090611,1200000,0.0,0.0,632143,5,1,4,2,0.04797291957462749,Normal
500093811,1500000,0.0,0.0,900000,5,1,4,5,0.05137565861492012,Normal
500095511,1000000,1.0,0.0,600000,5,1,4,1,0.024527617579703436,Normal
500096811,900000,0.0,0.0,650000,5,1,3,5,0.05812316146845982,Normal
500101911,800000,0.0,0.0,100000,5,1,3,5,0.056436673702217444,Normal
500104411,2000000,0.0,0.0,2090000,5,1,4,5,0.04561126224349156,Normal
500110917,2040000,0.0,0.0,1200000,8,1,4,2,0.047778881657505795,Normal
500110921,3600000,0.0,0.0,2088000,8,1,4,5,0.04909818436738013,Normal
500126211,1800000,0.0,0.0,1625000,8,1,3,5,0.05989528442371692,Normal
500127112,500000,0.0,0.0,298000,8,1,3,5,0.05766938898315431,Normal
500127212,4000000,1.0,450000.0,3072000,8,1,3,5,0.02735841965816539,Normal
500127612,30400000,0.0,0.0,29000000,8,1,3,5,-0.051968459827315655,Outlier
500127912,700000,0.0,0.0,112000,8,1,3,3,0.05129431997266434,Normal
500139612,2700000,0.0,0.0,2034000,8,1,3,5,0.05871350892305964,Normal
500144812,7185000,0.0,0.0,5985000,8,1,3,4,0.03741090830256053,Normal
500153114,500000,0.0,0.0,70000,11,1,3,5,0.04245123890053484,Normal
500194011,700000,0.0,0.0,250000,11,1,3,2,0.038539754434288975,Normal
500221913,1000000,0.0,0.0,24000,13,1,4,4,0.04892505995509569,Normal
500226011,4200000,1.0,0.0,3020000,13,1,4,4,0.03598460510507731,Normal
500269211,800000,0.0,0.0,576009,15,1,4,1,0.020993808490030283,Normal
500280813,2800000,0.0,0.0,1600000,17,1,3,5,0.04805866067298235,Normal
500380011,1280000,1.0,0.0,798000,18,1,4,1,0.014392768167147293,Normal
500384811,900000,1.0,0.0,643200,19,1,3,5,0.02831263360193347,Normal
500401012,658750,0.0,0.0,752000,19,1,4,4,0.03444310709495121,Normal
500402111,5100000,1.0,500000.0,1406000,19,1,4,5,0.006268314849534155,Normal
500421811,1800000,0.0,0.0,750000,20,1,3,2,0.033149335394194096,Normal
500441611,6000000,0.0,0.0,4000000,20,1,3,5,0.02626748881925344,Normal
500449711,900000,0.0,0.0,0,20,1,4,2,0.03496506883990173,Normal
500451911,1800000,0.0,0.0,924000,20,1,3,4,0.039704664758055425,Normal
500452911,506000,0.0,0.0,280444,20,1,3,2,0.03174525929161258,Normal
500483411,1900000,0.0,0.0,1390000,23,1,4,3,0.0279786095484044,Normal
500493312,1000000,1.0,0.0,447000,25,0,4,2,0.004520695014412355,Normal
500496211,1200000,0.0,0.0,430000,25,0,3,5,0.013049131547631185,Normal
500509511,3500000,0.0,0.0,2520000,41,1,3,5,0.025196143643966194,Normal
500520811,4100000,1.0,0.0,2350000,41,1,4,2,0.015037265783804332,Normal
500541514,820000,0.0,0.0,620000,44,1,3,5,0.05137696367883694,Normal
500547212,6200000,0.0,0.0,6200000,44,1,3,5,0.02924666099799152,Normal
500551412,1620000,0.0,0.0,920000,44,1,3,2,0.04357989460485323,Normal
500551911,1200000,0.0,0.0,500000,44,1,2,2,-0.008245794716607073,Outlier
500552711,900000,0.0,0.0,400000,44,1,2,4,-0.00106807969165763,Outlier
500562221,760000,0.0,0.0,200000,44,1,3,5,0.0505940236853024,Normal
